experiment,tree,d,param,time_ms,splits,util_pct,extra
insert,BTree,3,-,20.3092,8.0000,63.7471,0.0000
insert,BPlusTree,3,-,1176.4037,35006.0000,72.5161,0.0000
insert,BStarTree,3,-,19.7477,8.0000,65.8025,0.0000
insert,BTree,5,-,13.5152,5.0000,66.9465,0.0000
insert,BPlusTree,5,-,264.1011,17978.0000,71.3325,0.0000
insert,BStarTree,5,-,14.8984,5.0000,68.7952,0.0000
insert,BTree,10,-,11.3946,4.0000,68.2286,0.0000
insert,BPlusTree,10,-,49.6752,8072.0000,70.0592,0.0000
insert,BStarTree,10,-,11.8380,4.0000,69.5725,0.0000
search,BTree,3,-,2.6818,0.0000,0.0000,0.2682
search,BPlusTree,3,-,2.1375,0.0000,0.0000,0.2137
search,BStarTree,3,-,2.7870,0.0000,0.0000,0.2787
search,BTree,5,-,1.6858,0.0000,0.0000,0.1686
search,BPlusTree,5,-,1.2590,0.0000,0.0000,0.1259
search,BStarTree,5,-,1.5773,0.0000,0.0000,0.1577
search,BTree,10,-,1.0893,0.0000,0.0000,0.1089
search,BPlusTree,10,-,0.9392,0.0000,0.0000,0.0939
search,BStarTree,10,-,1.1347,0.0000,0.0000,0.1135
range,BTree,3,Male_ID_range,1.3272,0.0000,0.0000,3.2785
range,BPlusTree,3,Male_ID_range,0.1591,0.0000,0.0000,3.2785
range,BStarTree,3,Male_ID_range,1.4590,0.0000,0.0000,3.2785
range,BTree,5,Male_ID_range,1.0143,0.0000,0.0000,3.2785
range,BPlusTree,5,Male_ID_range,0.1112,0.0000,0.0000,3.2785
range,BStarTree,5,Male_ID_range,1.0141,0.0000,0.0000,3.2785
range,BTree,10,Male_ID_range,0.8740,0.0000,0.0000,3.2785
range,BPlusTree,10,Male_ID_range,0.0558,0.0000,0.0000,3.2785
range,BStarTree,10,Male_ID_range,0.8722,0.0000,0.0000,3.2785
delete,BTree,3,10pct,3.9326,0.0000,60.2510,0.0000
delete,BPlusTree,3,10pct,2.4683,0.0000,66.8429,0.0000
delete,BStarTree,3,10pct,3.3200,0.0000,61.5532,0.0000
delete,BTree,5,10pct,2.2525,0.0000,61.7932,0.0000
delete,BPlusTree,5,10pct,1.4206,0.0000,65.3291,0.0000
delete,BStarTree,5,10pct,2.1079,0.0000,63.0795,0.0000
delete,BTree,10,10pct,1.4067,0.0000,62.7313,0.0000
delete,BPlusTree,10,10pct,1.1310,0.0000,63.8914,0.0000
delete,BStarTree,10,10pct,1.4489,0.0000,63.7873,0.0000
delete,BTree,3,20pct,6.4484,0.0000,56.7678,0.0000
delete,BPlusTree,3,20pct,4.0007,0.0000,61.5190,0.0000
delete,BStarTree,3,20pct,5.9418,0.0000,57.4383,0.0000
delete,BTree,5,20pct,4.3093,0.0000,58.3260,0.0000
delete,BPlusTree,5,20pct,2.9991,0.0000,60.1344,0.0000
delete,BStarTree,5,20pct,4.0285,0.0000,59.0232,0.0000
delete,BTree,10,20pct,2.8774,0.0000,60.0474,0.0000
delete,BPlusTree,10,20pct,2.3090,0.0000,59.6389,0.0000
delete,BStarTree,10,20pct,2.8810,0.0000,60.4440,0.0000
